performance_id,composer,librettist,title,performance_year,placename,country
1,Paisiello Giovanni,Metastasio Pietro,Achille in Sciro,1778,Saint Petersburg,Russia
2,Mayr Johann Simon,Rossi Gaetano,Adelaide di Guesclino,1799,Venice,Italy
3,Mayr Johann Simon,Rossi Gaetano,Adelaide di Guesclino,1808,Dresden,Germany
4,Mayr Johann Simon,Rossi Gaetano,Adelaide di Guesclino,1815,Hamburg,Germany
5,Anfossi Pasquale,Metastasio Pietro,Adriano in Siria,1777,Padua,Italy
6,Mayr Johann Simon,Metastasio Pietro,Adriano in Siria,1798,Venice,Italy
7,Paisiello Giovanni,Metastasio Pietro,Alcide al bivio,1780,Saint Petersburg,Russia
8,Piccinni Niccolò,Metastasio Pietro,Alessandro nell'Indie,1775,Naples,Italy
9,Cimarosa Domenico,Metastasio Pietro,Alessandro nell'Indie,1781,Rome,Italy
10,Paisiello Giovanni,Metastasio Pietro,Antigono,1785,Naples,Italy
11,Paisiello Giovanni,Metastasio Pietro,Antigono,1784,Naples,Italy
12,Paisiello Giovanni,Metastasio Pietro,Antigono,1795,Naples,Italy
13,Anfossi Pasquale,Metastasio Pietro,Antigono,1782,Bologna,Italy
14,Cimarosa Domenico,Metastasio Pietro,Artaserse,1784,Turin,Italy
15,Anfossi Pasquale,Metastasio Pietro,Artaserse,1788,Rome,Italy
16,Cimarosa Domenico,Metastasio Pietro,Artaserse,1785,Turin,Italy
17,Piccinni Niccolò,Metastasio Pietro,Artaserse,1784,Naples,Italy
18,Salieri Antonio,Da Ponte Lorenzo,Axur re d'Ormus,1789,Dresden,Germany
19,Salieri Antonio,Da Ponte Lorenzo,Axur re d'Ormus,1800,Weimar,Germany
20,Salieri Antonio,Da Ponte Lorenzo,Axur re d'Ormus,1788,Bonn,Germany
21,Salieri Antonio,Da Ponte Lorenzo,Axur re d'Ormus,1803,Paris,France
22,Salieri Antonio,Da Ponte Lorenzo,Axur re d'Ormus,1794,Braunschweig,Germany
23,Salieri Antonio,Da Ponte Lorenzo,Axur re d'Ormus,1787,Paris,France
24,Salieri Antonio,Da Ponte Lorenzo,Axur re d'Ormus,1786,Paris,France
25,Salieri Antonio,Da Ponte Lorenzo,Axur re d'Ormus,1787,Vienna,Austria
